"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Ehlers-Danlos Syndrome","[disease]","C0013720","Skin and Connective Tissue Diseases (C17) | Hemic and Lymphatic Diseases (C15) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","1-9 / 1 000 000","Europe","Prevalence at birth","Autosomal dominant,Autosomal recessive,X-linked recessive",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0013720"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Connective Tissue Diseases","[disease]","C0009782","Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,0.333333333333333,"C0009782"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Marfan Syndrome","[disease]","C0024796","Skin and Connective Tissue Diseases (C17) | Musculoskeletal Diseases (C05) | Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000","Europe,United Kingdom,United Kingdom,United States","Point prevalence,Prevalence at birth,Point prevalence,Point prevalence","Autosomal dominant",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0024796"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Hereditary ataxia (disorder)","[disease]","C0004138","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0004138"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Colorectal Carcinoma","[disease]","C0009402","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0009402"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","Crigler-Najjar syndrome","[disease]","C5551003","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","","","1-9 / 1 000 000,1-9 / 100 000","Europe,Europe","Prevalence at birth,Point prevalence","Autosomal recessive",0,11,NA,NA,NA,NA,0.55,1992,2015,NA,1,"C5551003"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Malignant neoplasm of prostate","[disease]","C0376358","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","","","","",0,8,NA,NA,NA,NA,0.55,2002,2022,NA,1,"C0376358"
"PTPRN2",5799,"ENSG00000155093","protein-coding",0.562,0.87,4.8153e-15,"Q92932","","","Malignant neoplasm of prostate","[disease]","C0376358","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","","","","",0,8,NA,NA,NA,NA,0.55,2002,2022,NA,1,"C0376358"
"SLC6A12",6539,"ENSG00000111181","protein-coding",0.688,0.522,8.1403e-10,"P48065","DTO_05007405","Transporter","Asthma","[disease]","C0004096","Respiratory Tract Diseases (C08) | Immune System Diseases (C20)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the immune system (02715) | Abnormality of the respiratory system (02086)","","","","",0,1,NA,NA,NA,NA,0.55,2010,2010,NA,1,"C0004096"
"NTM",50863,"ENSG00000182667","protein-coding",0.586,0.913,0.98694,"Q9P121","","","Primary open angle glaucoma","[disease]","C0339573","Eye Diseases (C11)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.55,NA,NA,NA,1,"C0339573"
"RARS1",5917,"ENSG00000113643","protein-coding",0.575,0.87,1.1477e-16,"P54136","","","Leukodystrophy (disorder)","[disease]","C0023520","Nervous System Diseases (C10) | Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the nervous system (00707)","","","","",0,0,NA,NA,NA,NA,0.55,NA,NA,NA,1,"C0023520"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Lymphoma","[disease]","C0024299","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of blood and blood-forming tissues (01871) | Neoplasm (02664)","","","","",0,0,NA,NA,NA,NA,0.55,NA,NA,NA,1,"C0024299"
"PTPRN2",5799,"ENSG00000155093","protein-coding",0.562,0.87,4.8153e-15,"Q92932","","","Prediabetes syndrome","[disease]","C0362046","Nutritional and Metabolic Diseases (C18) | Endocrine System Diseases (C19)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","","","","",0,0,NA,NA,NA,NA,0.55,NA,NA,NA,1,"C0362046"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Arachnodactyly","[disease]","C0003706","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Musculoskeletal Diseases (C05)","Congenital Abnormality (T019)","","Abnormality of the musculoskeletal system (33127) | Abnormality of limbs (40064) | Growth abnormality (01507)","","","","",0,0,NA,NA,NA,NA,0.55,NA,NA,NA,1,"C0003706"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","AORTIC ANEURYSM, FAMILIAL THORACIC 10","[disease]","C4284414","","Disease or Syndrome (T047)","","","","","","",0,11,NA,NA,NA,NA,0.5,2002,2021,"Strong",1,"C4284414"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Autosomal dominant limb girdle muscular dystrophy","[disease]","C5675009","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10) | Musculoskeletal Diseases (C05)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","Autosomal dominant",0,6,NA,NA,NA,NA,0.5,2012,2015,"Definitive",1,"C5675009"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE ID","[disease]","C5935602","","Disease or Syndrome (T047)","","","","","","",0,5,NA,NA,NA,NA,0.5,2012,2022,"Moderate",1,"C5935602"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma 1, Open Angle, H","[disease]","C1969811","Eye Diseases (C11)","Disease or Syndrome (T047)","","","","","","",0,2,NA,NA,NA,NA,0.5,2015,2022,NA,1,"C1969811"
"MICA",100507436,"ENSG00000204520","protein-coding",0.405,0.913,0.0031713,"Q29983","","","Stevens-Johnson Syndrome","[disease]","C0038325","Immune System Diseases (C20) | Skin and Connective Tissue Diseases (C17) | Chemically-Induced Disorders (C25) | Stomatognathic Diseases (C07)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","Not applicable",0,1,NA,NA,NA,NA,0.5,2006,2006,NA,1,"C0038325"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Diarrhea","[phenotype]","C0011991","Pathological Conditions, Signs and Symptoms (C23)","Sign or Symptom (T184)","","Abnormality of the digestive system (25031)","","","","",0,1,NA,NA,NA,NA,0.5,2010,2010,NA,1,"C0011991"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Familial Idiopathic","[disease]","C1449563","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.5,1993,1993,NA,1,"C1449563"
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","Severe early-onset obesity insulin resistance syndrome due to SH2B1 deficiency","[disease]","C5190989","Nutritional and Metabolic Diseases (C18) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal dominant",0,1,NA,NA,NA,NA,0.5,2012,2012,"Supportive",1,"C5190989"
"NTM",50863,"ENSG00000182667","protein-coding",0.586,0.913,0.98694,"Q9P121","","","Unipolar Depression","[disease]","C0041696","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,1,NA,NA,NA,NA,0.5,2011,2011,NA,1,"C0041696"
"MAGI1",9223,"ENSG00000151276","protein-coding",0.586,0.913,0.85449,"Q96QZ7","","","MAJOR AFFECTIVE DISORDER 2","[disease]","C1839839","Mental Disorders (F03) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,1,NA,NA,NA,NA,0.5,2012,2012,NA,1,"C1839839"
"NTM",50863,"ENSG00000182667","protein-coding",0.586,0.913,0.98694,"Q9P121","","","Major Depressive Disorder","[disease]","C1269683","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,1,NA,NA,NA,NA,0.5,2011,2011,NA,1,"C1269683"
"VIPR2",7434,"ENSG00000106018","protein-coding",0.565,0.87,8.2204e-13,"P41587","DTO_02300001","G-protein coupled receptor","Bipolar Disorder","[disease]","C0005586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.5,2010,2010,NA,1,"C0005586"
"ADARB2",105,"ENSG00000185736","protein-coding",0.62,0.87,0.0043883,"Q9NS39","DTO_05007624","Enzyme","Parkinson Disease","[disease]","C0030567","Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.5,2015,2015,NA,0,"C0030567"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Adenocarcinoma","[disease]","C0001418","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.5,2007,2007,NA,1,"C0001418"
"FAM83D",81610,"ENSG00000101447","protein-coding",0.658,0.478,3.3088e-11,"Q9H4H8","","","Glioblastoma","[disease]","C0017636","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.5,2022,2022,NA,1,"C0017636"
"MUCL3",135656,"ENSG00000168631","protein-coding",0.496,0.87,9.5384e-08,"Q3MIW9","","","Diffuse panbronchiolitis","[disease]","C0878555","Respiratory Tract Diseases (C08) | Infections (C01)","Disease or Syndrome (T047)","","","","","","Multigenic/multifactorial",0,1,NA,NA,NA,NA,0.5,2012,2012,NA,1,"C0878555"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Primary Biliary Cholangitis","[disease]","C0008312","Digestive System Diseases (C06) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the digestive system (25031)","1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 1 000 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000","Europe,Worldwide,Worldwide,Europe,France,Spain,Spain,Iceland,Iceland,Netherlands,Netherlands,Denmark,Denmark,Finland,Finland,United Kingdom,United States,United States,Canada,Canada,Australia,Israel,China,Brunei Darussalam,Brunei Darussalam,Greece,Greece,United Kingdom","Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Annual incidence","Multigenic/multifactorial,Unknown",0,1,NA,NA,NA,NA,0.5,2005,2005,NA,1,"C0008312"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Hepatolenticular Degeneration","[disease]","C0019202","Digestive System Diseases (C06) | Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of metabolism (0014667) | genetic disease (630)","","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000","Worldwide,Europe,Worldwide,France,Italy,Japan,China,Specific population,Specific population,Ireland,Germany,Finland,Finland","Prevalence at birth,Point prevalence,Point prevalence,Point prevalence,Prevalence at birth,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Annual incidence,Point prevalence","Autosomal recessive",0,1,NA,NA,NA,NA,0.5,2005,2005,NA,1,"C0019202"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Hepatitis C","[disease]","C0019196","Digestive System Diseases (C06) | Infections (C01)","Disease or Syndrome (T047)","disease by infectious agent (0050117) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.5,2005,2005,NA,1,"C0019196"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Necrosis","[phenotype]","C0027540","Pathological Conditions, Signs and Symptoms (C23)","Pathologic Function (T046)","","","","","","",0,1,NA,NA,NA,NA,0.5,2013,2013,NA,1,"C0027540"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Hepatolenticular Degeneration","[disease]","C0019202","Digestive System Diseases (C06) | Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of metabolism (0014667) | genetic disease (630)","","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000","Worldwide,Europe,Worldwide,France,Italy,Japan,China,Specific population,Specific population,Ireland,Germany,Finland,Finland","Prevalence at birth,Point prevalence,Point prevalence,Point prevalence,Prevalence at birth,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Annual incidence,Point prevalence","Autosomal recessive",0,1,NA,NA,NA,NA,0.5,2005,2005,NA,1,"C0019202"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Oral submucosal fibrosis, including of tongue","[disease]","C0029171","","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.5,2006,2006,NA,0.5,"C0029171"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Primary Biliary Cholangitis","[disease]","C0008312","Digestive System Diseases (C06) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the digestive system (25031)","1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 1 000 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000","Europe,Worldwide,Worldwide,Europe,France,Spain,Spain,Iceland,Iceland,Netherlands,Netherlands,Denmark,Denmark,Finland,Finland,United Kingdom,United States,United States,Canada,Canada,Australia,Israel,China,Brunei Darussalam,Brunei Darussalam,Greece,Greece,United Kingdom","Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Annual incidence","Multigenic/multifactorial,Unknown",0,1,NA,NA,NA,NA,0.5,2005,2005,NA,1,"C0008312"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Arrhythmogenic Right Ventricular Dysplasia","[disease]","C0349788","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","1-5 / 10 000,1-5 / 10 000","Italy,Worldwide","Point prevalence,Point prevalence","Autosomal dominant,Autosomal recessive",0,0,NA,NA,NA,NA,0.5,NA,NA,NA,1,"C0349788"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Muscle Weakness","[phenotype]","C0151786","Musculoskeletal Diseases (C05) | Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Sign or Symptom (T184)","","Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.5,NA,NA,NA,1,"C0151786"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Long QT Syndrome","[disease]","C0023976","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Cardiovascular Diseases (C14) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.5,NA,NA,NA,1,"C0023976"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","Malignant neoplasm of ovary","[disease]","C1140680","Urogenital Diseases (C12) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","1-5 / 10 000","Europe","Point prevalence","",0,0,NA,NA,NA,NA,0.5,NA,NA,"No Known Disease Relationship",1,"C1140680"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Blindness","[disease]","C0456909","Eye Diseases (C11) | Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.5,NA,NA,NA,1,"C0456909"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","","","","",0,64,NA,NA,NA,NA,0.45,1984,2021,NA,1,"C0017551"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Intellectual Disability","[disease]","C3714756","Mental Disorders (F03) | Pathological Conditions, Signs and Symptoms (C23) | Behavior and Behavior Mechanisms (F01) | Nervous System Diseases (C10)","Mental or Behavioral Dysfunction (T048)","","Abnormality of the nervous system (00707)","","","","",0,4,NA,NA,NA,NA,0.45,2011,2021,NA,1,"C3714756"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Neurodevelopmental Disorders","[disease]","C1535926","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,2,NA,NA,NA,NA,0.45,2016,2020,"Limited",1,"C1535926"
"HCP5",10866,"ENSG00000206337","ncRNA",0.432,0.87,NA,"","","","Thrombocytopenia","[disease]","C0040034","Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of blood and blood-forming tissues (01871)","","","","",0,1,NA,NA,NA,NA,0.45,2021,2021,NA,1,"C0040034"
"MUCL3",135656,"ENSG00000168631","protein-coding",0.496,0.87,9.5384e-08,"Q3MIW9","","","Thrombocytopenia","[disease]","C0040034","Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of blood and blood-forming tissues (01871)","","","","",0,1,NA,NA,NA,NA,0.45,2021,2021,NA,1,"C0040034"
"TTC21A",199223,"ENSG00000168026","protein-coding",0.681,0.565,4.2204e-32,"Q8NDW8","","","Asthenozoospermia (finding)","[phenotype]","C4082176","","Finding (T033)","","Abnormality of the genitourinary system (00119)","","","","",0,1,NA,NA,NA,NA,0.45,2019,2019,NA,1,"C4082176"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","DiGeorge Syndrome","[disease]","C0012236","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Endocrine System Diseases (C19) | Musculoskeletal Diseases (C05) | Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","genetic disease (630) | syndrome (225)","","1-9 / 100 000,1-5 / 10 000,1-5 / 10 000","Europe,United States,Europe","Prevalence at birth,Prevalence at birth,Point prevalence","Autosomal dominant",0,1,NA,NA,NA,NA,0.45,2015,2015,"Supportive",1,"C0012236"
"IQSEC1",9922,"ENSG00000144711","protein-coding",0.619,0.783,0.99606,"Q6DN90","","","Autosomal recessive non-syndromic intellectual disability","[disease]","C5680181","","Disease or Syndrome (T047)","genetic disease (630) | disease of mental health (150)","","","","","Autosomal recessive",0,1,NA,NA,NA,NA,0.45,2019,2019,"Supportive",1,"C5680181"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma of childhood","[disease]","C2981140","Eye Diseases (C11) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the eye (00478)","1-9 / 100 000","United States","Point prevalence","Autosomal dominant",0,1,NA,NA,NA,NA,0.45,2022,2022,NA,1,"C2981140"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","Juvenile Myelomonocytic Leukemia","[disease]","C0349639","Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of blood and blood-forming tissues (01871) | Abnormality of the immune system (02715) | Neoplasm (02664)","1-9 / 1 000 000","Europe","Point prevalence","Not applicable",0,1,NA,NA,NA,NA,0.45,2015,2015,NA,1,"C0349639"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Periventricular Heterotopia, X-Linked","[disease]","C1848213","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.45,2016,2016,NA,1,"C1848213"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Aortic Valve Insufficiency","[disease]","C0003504","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,1,NA,NA,NA,NA,0.45,2011,2011,NA,1,"C0003504"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Precursor Lymphoid Neoplasm","[disease]","C1335469","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C1335469"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Bulla of lung","[disease]","C0241982","Respiratory Tract Diseases (C08) | Pathological Conditions, Signs and Symptoms (C23)","Anatomical Abnormality (T190)","","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0241982"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Bladder Diverticulum","[disease]","C0156273","Digestive System Diseases (C06) | Pathological Conditions, Signs and Symptoms (C23)","Anatomical Abnormality (T190)","disease of anatomical entity (7)","Abnormality of the genitourinary system (00119)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0156273"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Advanced bone age","[phenotype]","C0545053","","Finding (T033)","","Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0545053"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Tall stature","[phenotype]","C0241240","","Finding (T033)","","Growth abnormality (01507)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0241240"
