PMID,Title,Abstract,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,primero_criteria_met (Y/N),primero_category,primero_explanation
39051592,Childhood trauma is linked to epigenetic age deceleration in young adults with previous youth residential care placements,"Background: Early adversity increases the risk for mental and physical disorders as well as premature death. Epigenetic processes, and altered epigenetic aging in particular, might mediate these effects. While the literature that examined links between early adversity and epigenetic aging is growing, results have been heterogeneous.Objective: In the current work, we explored the link between early adversity and epigenetic aging in a sample of formerly out-of-home placed young adults.Method: A total of N = 117 young adults (32% women, age mean = 26.3 years, SD = 3.6 years) with previous youth residential care placements completed the Childhood Trauma Questionnaire (CTQ) and the Life Events Checklist (LEC-R) and provided blood samples for the analysis of DNA methylation using the Illumina Infinium MethylationEPIC BeadChip Microarray. Epigenetic age was estimated using Hovarth's and Hannum's epigenetic clocks. Furthermore, Hovarth's and Hannum's epigenetic age residuals were calculated as a proxy of epigenetic aging by regressing epigenetic age on chronological age. The statistical analysis plan was preregistered (https://osf.io/b9ev8).Results: Childhood trauma (CTQ) was negatively associated with Hannum's epigenetic age residuals, ? = -.23, p = .004 when controlling for sex, BMI, smoking status and proportional white blood cell type estimates. This association was driven by experiences of physical neglect, ? = -.25, p = .001. Lifetime trauma exposure (LEC-R) was not a significant predictor of epigenetic age residuals.Conclusion: Childhood trauma, and physical neglect in particular, was associated with decelerated epigenetic aging in our sample. More studies focusing on formerly institutionalized at-risk populations are needed to better understand which factors affect stress-related adaptations following traumatic experiences.","Meier M, Kantelhardt S, Gurri L, Stadler C, Schmid M, Clemens V, O'Donovan A, Boonmann C, Bürgin D, Unternaehrer E.",Eur J Psychotraumatol. 2024;15(1):2379144. doi: 10.1080/20008066.2024.2379144. Epub 2024 Jul 25.,Meier M,Eur J Psychotraumatol,2024,7/25/2024,PMC11275517,,10.1080/20008066.2024.2379144,Y,Included,EWAS of childhood trauma & epigenetic age
29888956,Sex-specific epigenetic mediators between early life social disadvantage and adulthood BMI,"The objective of this study was to identify potential epigenetic mediating pathways linking early life social disadvantage (ELSD) to adulthood BMI. Sex-specific epigenome-wide two-stage mediation analyses were conducted in blood and adipose tissue, and mediation estimates were obtained using cross-product mediation analysis. Pathway analyses were conducted using GREAT software (Bejerano Lab, CA, USA). Candidate mediation CpG sites were identified in adipose tissue, but not blood, and were sex-specific. Significant mediation sites in females included CpG loci in genes: PKHG1, BCAR3, ADAM5P, PIEZO1, FGFRL1, FASN and DPP9, among others. Pathway analyses revealed evidence of enrichment for processes associated with TFG-? signaling and immunologic signatures. In males, significant mediation loci included sites in MAP3K5 and RPTOR, which have previously been associated with adipogenesis, inflammation and insulin resistance. Our findings provide supportive evidence for the mediating role of epigenetic mechanisms in the effect of early life social disadvantage on adulthood BMI.","Chu SH, Loucks EB, Kelsey KT, Gilman SE, Agha G, Eaton CB, Buka SL, Huang YT.",Epigenomics. 2018 Jun;10(6):707-722. doi: 10.2217/epi-2017-0146. Epub 2018 Jun 11.,Chu SH,Epigenomics,2018,6/12/2018,PMC6367732,,10.2217/epi-2017-0146,Y,Included,EWAS of early life social disadvantage & BMI
26351305,Lymphoblastoid cell lines reveal associations of adult DNA methylation with childhood and current adversity that are distinct from whole blood associations,"Some cohort studies bank lymphoblastoid cell lines (LCLs) as a renewable source of participant DNA. However, although LCL DNA has proved valuable for genetic studies, its utility in epigenetic epidemiology research is unknown. To assess whether LCL DNA can be used for life-course environmental epigenomics, we carried out a pilot methylomic study (using the Illumina Infinium Human Methylation 450 BeadChip) of nil-passage, Epstein-Barr virus (EBV)-transformed LCLs (n = 42) and 28 matched whole-blood (WB) samples. These were from adult male participants of the British 1958 birth cohort, selected for extremes of social economic position (SEP) in childhood and adulthood, with additional information available on childhood abuse and prenatal tobacco exposure. We identified a small number of weak associations between these exposures and methylation levels of both individual CpG sites and genomic regions in WB and LCLs. However, only one of the regional, and none of the individual CpG site associations were common to both sample types. The lack of overlap between the associations detected in LCL compared with those found in WB could either be due to the EBV-transformation process, or to the fact that, unlike WB, LCLs are essentially a single (CD19+) cell type. We provide evidence that the latter is the more potent explanation, by showing that CpG sites known to be differentially methylated between different types of blood cell have significantly lower correlations (R = 0.11) than average (R = 0.2) between WB and LCLs in our datasets, whereas sites known to be affected by EBV-transformation have significantly higher correlations (R = 0.3). This small pilot study suggests that the DNA methylation profile of LCLs is more closely related to that of B cells than WB and, additionally, that LCLs may nevertheless be useful for life-course environmental epigenomics.","Suderman M, Pappas JJ, Borghol N, Buxton JL, McArdle WL, Ring SM, Hertzman C, Power C, Szyf M, Pembrey M.",Int J Epidemiol. 2015 Aug;44(4):1331-40. doi: 10.1093/ije/dyv168. Epub 2015 Sep 8.,Suderman M,Int J Epidemiol,2015,9/10/2015,,,10.1093/ije/dyv168,N,Methodological,methodological paper comparing LCL vs WB for DNAm analysis
33215951,Childhood exposure to hunger: associations with health outcomes in later life and epigenetic markers,Aim: To assess associations of early exposure to hunger with depressive symptoms and cardiovascular disease (CVD) and to investigate possible epigenetic pathways. Patients & methods: Data were based on a German population-based cohort of older adults (n = 9631). Regression models were performed for health outcomes in later life. An epigenome-wide association study for early-life exposure to hunger was performed in a subgroup (n = 2221) with whole blood DNA methylation data. Results: Childhood exposure to hunger was associated with CVD and depressive symptoms in later life. Prenatal or infant exposure was strongly associated with depressive symptoms. No CpG reached epigenome-wide significance after multiple testing correction. Conclusion: Childhood hunger is a risk factor for depressive symptoms and CVD at older age. DNA methylation could not explain this association.,"Perna L, Zhang Y, Wild B, Kliegel M, Ihle A, Schöttker B, Mons U, Brenner H.",Epigenomics. 2020 Nov;12(21):1861-1870. doi: 10.2217/epi-2019-0333. Epub 2020 Nov 20.,Perna L,Epigenomics,2020,11/20/2020,,,10.2217/epi-2019-0333,N,Wrong Exposure,"EWAS on hunger, not abuse/maltreatment"
33414392,A genome-wide methylation study reveals X chromosome and childhood trauma methylation alterations associated with borderline personality disorder,"Borderline personality disorder (BPD) is a severe and highly prevalent psychiatric disorder, more common in females than in males and with notable differences in presentation between genders. Recent studies have shown that epigenetic modifications such as DNA methylation may modulate gene × environment interactions and impact on neurodevelopment. We conducted an epigenome wide study (Illumina Infinium HumanMethylation450k beadchip) in a group of BPD patients with (N = 49) and without (N = 47) childhood traumas and in a control group (N = 44). Results were confirmed in a replication cohort (N = 293 BPD patients and N = 114 controls) using EpiTYPER assays. Differentially methylated CpG sites were observed in several genes and intragenic regions in the X chromosome (PQBP1, ZNF41, RPL10, cg07810091 and cg24395855) and in chromosome 6 (TAP2). BPD patients showed significantly lower methylation levels in these CpG sites than healthy controls. These differences seemed to be increased by the existence of childhood trauma. Comparisons between BPD patients with childhood trauma and patients and controls without revealed significant differences in four genes (POU5F1, GGT6, TNFRSF13C and FAM113B), none of them in the X chromosome. Gene set enrichment analyses revealed that epigenetic alterations were more frequently found in genes controlling oestrogen regulation, neurogenesis and cell differentiation. These results suggest that epigenetic alterations in the X chromosome and oestrogen-regulation genes may contribute to the development of BPD and explain the differences in presentation between genders. Furthermore, childhood trauma events may modulate the magnitude of the epigenetic alterations contributing to BPD.","Arranz MJ, Gallego-Fabrega C, Martín-Blanco A, Soler J, Elices M, Dominguez-Clavé E, Salazar J, Vega D, Briones-Buixassa L, Pascual JC.",Transl Psychiatry. 2021 Jan 5;11(1):5. doi: 10.1038/s41398-020-01139-z.,Arranz MJ,Transl Psychiatry,2021,1/8/2021,PMC7791113,,10.1038/s41398-020-01139-z,Y,Included,EWAS on BPD stratified by childhood trauma
29026448,Newborn genome-wide DNA methylation in association with pregnancy anxiety reveals a potential role for GABBR1,"There is increasing evidence for the role of prenatal stress in shaping offspring DNA methylation and disease susceptibility. In the current study, we aimed to identify genes and pathways associated with pregnancy anxiety using a genome-wide DNA methylation approach. We selected 22 versus 23 newborns from our Prenatal Early Life Stress (PELS) cohort, exposed to the lowest or highest degree of maternal pregnancy anxiety, respectively. Cord blood genome-wide DNA methylation was assayed using the HumanMethylation450 BeadChip (HM450, n = 45) and candidate gene methylation using EpiTYPER (n = 80). Cortisol levels were measured at 2, 4, and 12 months of age to test infant stress system (re)activity. Data showed ten differentially methylated regions (DMR) when comparing newborns exposed to low versus high pregnancy anxiety scores. We validated a top DMR in the GABA-B receptor subunit 1 gene (GABBR1) revealing the association with pregnancy anxiety particularly in male newborns (most significant CpG Pearson R = 0.517, p = 0.002; average methylation Pearson R = 0.332, p = 0.039). Cord blood GABBR1 methylation was associated with infant cortisol levels in response to a routine vaccination at 4 months old. In conclusion, our results show that pregnancy anxiety is associated with differential DNA methylation patterns in newborns and that our candidate gene GABBR1 is associated with infant hypothalamic-pituitary-adrenal axis response to a stressor. Our findings reveal a potential role for GABBR1 methylation in association with stress and provide grounds for further research.","Vangeel EB, Pishva E, Hompes T, van den Hove D, Lambrechts D, Allegaert K, Freson K, Izzi B, Claes S.",Clin Epigenetics. 2017 Oct 3;9:107. doi: 10.1186/s13148-017-0408-5. eCollection 2017.,Vangeel EB,Clin Epigenetics,2017,10/14/2017,PMC5627482,,10.1186/s13148-017-0408-5,N,Intergenerational,intergenerational exposure (prenatal maternal anxiety)
38417921,"Epigenetic studies in children at risk of stunting and their parents in India, Indonesia and Senegal: a UKRI GCRF Action Against Stunting Hub protocol paper","In 2020, an estimated 150 million children under the age of 5 years were stunted. Stunting results from early-life adversity and it is associated with significant physical and cognitive deficit, lifelong socioeconomic disadvantage and reduced life expectancy. There is a need to understand the causes of stunting and its effects in order to develop strategies to avoid it and to mitigate the consequences once stunting has occurred. Epigenetics is an important mechanism through which early-life factors are thought to influence biological function, with long-term consequences. We describe a series of epigenetic studies designed to understand how early-life adversity results in stunting and to inform the development of practical tools such as predictive markers and therapeutic targets. This work is part of the UKRI GCRF Action Against Stunting Hub. The project-in India, Indonesia and Senegal-comprises an observational study of mothers, fathers, and offspring (n=500) spanning the first 1000 days of life, and an intervention study in each country. Epigenetic status (DNA methylation) is determined in saliva from babies collected within 1 month of birth and again at 18 months of age, and from mothers and fathers around the time of birth. Epigenome-wide analysis is carried out using the Illumina EPIC array, augmented by high-definition sequencing approaches. Statistical analysis is carried out at the level of candidate genes/regions, higher dimensional epigenetic states and epigenome-wide association. Data analysis focuses on the determinants of stunting, the effectiveness of interventions, population comparisons and the link between epigenetics and other thematic areas, which include anthropometry, microbiome, gut health, parasitology, cognition, nutrition, food hygiene and water sanitation, food systems and the home environment. This study has been approved by the relevant Ethics Committees in Indonesia, India and Senegal, and the UK. Research data will be published and posted in public repositories.","Ramsteijn AS, Ndiaye M, Kalashikam RR, Htet MK, Yadav Dm D, Augustine LF, Zahra NL, Djigal A, Yanti D, Angelin TC, Nurfadilah M, Gorre M, Subrahamanyam D, Vadakattu SS, Munikumar M, Horgan GW, Fahmida U, Faye B, Kulkarni B, Haggarty P.",BMJ Paediatr Open. 2024 Feb 27;8(Suppl 1):e001770. doi: 10.1136/bmjpo-2022-001770.,Ramsteijn AS,BMJ Paediatr Open,2024,2/28/2024,PMC10900567,,10.1136/bmjpo-2022-001770,N,Methodological,"study protocol/project description, not an association study"
38362742,DNA methylation changes in association with trauma-focused psychotherapy efficacy in treatment-resistant depression patients: a prospective longitudinal study,"Background: Stressful events increase the risk for treatment-resistant depression (TRD), and trauma-focused psychotherapy can be useful for TRD patients exposed to early life stress (ELS). Epigenetic processes are known to be related to depression and ELS, but there is no evidence of the effects of trauma-focused psychotherapy on methylation alterations.Objective: We performed the first epigenome-wide association study to investigate methylation changes related to trauma-focused psychotherapies effects in TRD patients.Method: Thirty TRD patients assessed for ELS underwent trauma-focused psychotherapy, of those, 12 received trauma-focused cognitive behavioural therapy, and 18 Eye Movement Desensitization and Reprocessing (EMDR). DNA methylation was profiled with Illumina Infinium EPIC array at T0 (baseline), after 8 weeks (T8, end of psychotherapy) and after 12 weeks (T12 - follow-up). We examined differentially methylated CpG sites and regions, as well as pathways analysis in association with the treatment.Results: Main results obtained have shown 110 differentially methylated regions (DMRs) with a significant adjusted p-value area associated with the effects of trauma-focused psychotherapies in the entire cohort. Several annotated genes are related to inflammatory processes and psychiatric disorders, such as LTA, GFI1, ARID5B, TNFSF13, and LST1. Gene enrichment analyses revealed statistically significant processes related to tumour necrosis factor (TNF) receptor and TNF signalling pathway. Stratified analyses by type of trauma-focused psychotherapy showed statistically significant adjusted p-value area in 141 DMRs only for the group of patients receiving EMDR, with annotated genes related to inflammation and psychiatric disorders, including LTA, GFI1, and S100A8. Gene set enrichment analyses in the EMDR group indicated biological processes related to inflammatory response, particularly the TNF signalling pathway.Conclusion: We provide preliminary valuable insights into global DNA methylation changes associated with trauma-focused psychotherapies effects, in particular with EMDR treatment.","Carvalho Silva R, Martini P, Hohoff C, Mattevi S, Bortolomasi M, Menesello V, Gennarelli M, Baune BT, Minelli A.",Eur J Psychotraumatol. 2024;15(1):2314913. doi: 10.1080/20008066.2024.2314913. Epub 2024 Feb 16.,Carvalho Silva R,Eur J Psychotraumatol,2024,2/16/2024,PMC10878335,,10.1080/20008066.2024.2314913,N,Wrong Exposure,"EWAS of psychotherapy effects, not ELS"
35089926,The methylome in females with adolescent Conduct Disorder: Neural pathomechanisms and environmental risk factors,"Conduct Disorder (CD) is an impairing psychiatric disorder of childhood and adolescence characterized by aggressive and dissocial behavior. Environmental factors such as maternal smoking during pregnancy, socio-economic status, trauma, or early life stress are associated with CD. Although the number of females with CD is rising in Western societies, CD is under-researched in female cohorts. We aimed at exploring the epigenetic signature of females with CD and its relation to psychosocial and environmental risk factors. We performed HpaII sensitive genome-wide methylation sequencing of 49 CD girls and 50 matched typically developing controls and linear regression models to identify differentially methylated CpG loci (tags) and regions. Significant tags and regions were mapped to the respective genes and tested for enrichment in pathways and brain developmental processes. Finally, epigenetic signatures were tested as mediators for CD-associated risk factors. We identified a 12% increased methylation 5' of the neurite modulator SLITRK5 (FDR = 0.0046) in cases within a glucocorticoid receptor binding site. Functionally, methylation positively correlated with gene expression in lymphoblastoid cell lines. At systems-level, genes (uncorr. P < 0.01) were associated with development of neurons, neurite outgrowth or neuronal developmental processes. At gene expression level, the associated gene-networks are activated perinatally and during early childhood in neocortical regions, thalamus and striatum, and expressed in amygdala and hippocampus. Specifically, the epigenetic signatures of the gene network activated in the thalamus during early childhood correlated with the effect of parental education on CD status possibly mediating its protective effect. The differential methylation patterns identified in females with CD are likely to affect genes that are expressed in brain regions previously indicated in CD. We provide suggestive evidence that protective effects are likely mediated by epigenetic mechanisms impairing specific brain developmental networks and therefore exerting a long-term effect on neural functions in CD. Our results are exploratory and thus, further replication is needed.","Chiocchetti AG, Yousaf A, Waltes R, Bernhard A, Martinelli A, Ackermann K, Haslinger D, Rotter B, Krezdorn N, Konrad K, Kohls G, Vetro A, Hervas A, Fernández-Rivas A, Freitag CM.",PLoS One. 2022 Jan 28;17(1):e0261691. doi: 10.1371/journal.pone.0261691. eCollection 2022.,Chiocchetti AG,PLoS One,2022,1/28/2022,PMC8797262,,10.1371/journal.pone.0261691,Y,Included,EWAS of conduct disorder linked to ELS
40753956,"Examining the timing of trauma, PTSD onset, and DNA methylation: A multicohort investigation of candidate CpG sites","Epigenome-wide association studies (EWAS) have identified cytosine-phosphate-guanine sites (CpGs) associated with trauma and PTSD. However, prior studies have largely focused on cross-sectional associations, and it remains unclear whether epigenetic profiles associated with traumatic stress might predispose individuals to develop PTSD or might change in response to PTSD. In this study, we characterized associations between traumatic stress and three CpGs identified in previous EWAS of PTSD (cg05575921 and cg26703534 in AHRR, and cg19534438 in G0S2) using two cohorts-the Dunedin Multidisciplinary Health and Development Study (n = 846) and the Post-Deployment Mental Health Study (PDMH; n = 2309). We first replicated cross-sectional associations, and then investigated the time course linking PTSD, trauma, and DNA methylation. In cross-sectional analyses, we found trauma and PTSD were consistently associated with hypomethylation at cg05575921-including at age 26, 38, and 45 in the Dunedin Study-whereas neither cg26703534 nor cg19534438 showed consistent associations. These results were robust to multiple methods of accounting for tobacco exposure, which is notable given associations between smoking and changes in AHRR. In the Dunedin Study, we also found that people who developed PTSD between age 26 and 45 showed greater hypomethylation at cg05575921 over the same period, however, people with hypomethylation at cg05575921 at age 26 were no more likely to develop future PTSD. Hypomethylation at cg05575921 was also associated with childhood adversity in the Dunedin Study and a past diagnosis of PTSD in the PDMH. Our findings suggest traumatic stress is associated with cg05575921 in the AHRR gene, and that trauma and PTSD may be associated with changes in cg05575921.","Bourassa KJ, Garrett ME, Hair L, Dennis M, Sugden K, Williams B, Meier MH, Houts R; VA Mid Atlantic MIRECC Workgroup; Beckham JC, Ashley-Koch AE, Theodore RF, Poulton RG, Moffitt TE, Caspi A, Kimbrel NA.",J Psychiatr Res. 2025 Sep;189:528-535. doi: 10.1016/j.jpsychires.2025.07.026. Epub 2025 Jul 31.,Bourassa KJ,J Psychiatr Res,2025,8/3/2025,PMC12352127,NIHMS2101329,10.1016/j.jpsychires.2025.07.026,N,Not EWAS,candidate gene f/u of previous EWAS
27323309,Methylation of the oxytocin receptor gene mediates the effect of adversity on negative schemas and depression,"Building upon various lines of research, we posited that methylation of the oxytocin receptor gene (OXTR) would mediate the effect of adult adversity on increased commitment to negative schemas and in turn the development of depression. We tested our model using structural equation modeling and longitudinal data from a sample of 100 middle-aged, African American women. The results provided strong support for the model. Analysis of the 12 CpG sites available for the promoter region of the OXTR gene identified four factors. One of these factors was related to the study variables, whereas the others were not. This factor mediated the effect of adult adversity on schemas relating to pessimism and distrust, and these schemas, in turn, mediated the impact of OXTR methylation on depression. All indirect effects were statistically significant, and they remained significant after controlling for childhood trauma, age, romantic relationship status, individual differences in cell types, and average level of genome-wide methylation. These finding suggest that epigenetic regulation of the oxytocin system may be a mechanism whereby the negative cognitions central to depression become biologically embedded.","Simons RL, Lei MK, Beach SRH, Cutrona CE, Philibert RA.",Dev Psychopathol. 2017 Aug;29(3):725-736. doi: 10.1017/S0954579416000420. Epub 2016 Jun 20.,Simons RL,Dev Psychopathol,2017,6/21/2016,PMC5395354,NIHMS841159,10.1017/S0954579416000420,N,Not EWAS,"candidate gene study (OXTR), not EWAS"
39016098,A novel hypothesis-generating approach for detecting phenotypic associations using epigenetic data,"Aim: Hypotheses about what phenotypes to include in causal analyses, that in turn can have clinical and policy implications, can be guided by hypothesis-free approaches leveraging the epigenome, for example.Materials & methods: Minimally adjusted epigenome-wide association studies (EWAS) using ALSPAC data were performed for example conditions, dysmenorrhea and heavy menstrual bleeding (HMB). Differentially methylated CpGs were searched in the EWAS Catalog and associated traits identified. Traits were compared between those with and without the example conditions in ALSPAC.Results: Seven CpG sites were associated with dysmenorrhea and two with HMB. Smoking and adverse childhood experience score were associated with both conditions in the hypothesis-testing phase.Conclusion: Hypothesis-generating EWAS can help identify associations for future analyses.","Martin FZ, Easey KE, Howe LD, Fraser A, Lawlor DA, Relton CL, Sharp GC.",Epigenomics. 2024;16(11-12):851-864. doi: 10.1080/17501911.2024.2366157. Epub 2024 Jul 17.,Martin FZ,Epigenomics,2024,7/17/2024,PMC11370959,,10.1080/17501911.2024.2366157,N,Wrong Exposure,"primary EWAS on dysmenorrhea/HMB, not ACEs"
26847422,Differential DNA methylation in peripheral blood mononuclear cells in adolescents exposed to significant early but not later childhood adversity,"Internationally adopted adolescents who are adopted as young children from conditions of poverty and deprivation have poorer physical and mental health outcomes than do adolescents conceived, born, and raised in the United States by families similar to those who adopt internationally. Using a sample of Russian and Eastern European adoptees to control for Caucasian race and US birth, and nonadopted offspring of well-educated and well-resourced parents to control for postadoption conditions, we hypothesized that the important differences in environments, conception to adoption, might be reflected in epigenetic patterns between groups, specifically in DNA methylation. Thus, we conducted an epigenome-wide association study to compare DNA methylation profiles at approximately 416,000 individual CpG loci from peripheral blood mononuclear cells of 50 adopted youth and 33 nonadopted youth. Adopted youth averaged 22 months at adoption, and both groups averaged 15 years at testing; thus, roughly 80% of their lives were lived in similar circumstances. Although concurrent physical health did not differ, cell-type composition predicted using the DNA methylation data revealed a striking difference in the white blood cell-type composition of the adopted and nonadopted youth. After correcting for cell type and removing invariant probes, 30 CpG sites in 19 genes were more methylated in the adopted group. We also used an exploratory functional analysis that revealed that 223 gene ontology terms, clustered in neural and developmental categories, were significantly enriched between groups.","Esposito EA, Jones MJ, Doom JR, MacIsaac JL, Gunnar MR, Kobor MS.",Dev Psychopathol. 2016 Nov;28(4pt2):1385-1399. doi: 10.1017/S0954579416000055. Epub 2016 Feb 5.,Esposito EA,Dev Psychopathol,2016,2/6/2016,PMC5903568,NIHMS952535,10.1017/S0954579416000055,Y,Included,EWAS on early deprivation in international adoptees
29258561,A pilot investigation on DNA methylation modifications associated with complex posttraumatic symptoms in elderly traumatized in childhood,"Complex posttraumatic stress disorder (CPTSD) is a newly proposed diagnosis in the International Classification of Diseases-version 11, which is currently intensively investigated. Childhood trauma is regarded as main source of CPTSD symptoms, even in later life. Induction of DNA methylation changes by childhood trauma may contribute to its long-lasting adverse health consequences. The current study analyzed the correlation of genome-wide DNA methylation profiles with complex posttraumatic sequelae in buccal epithelial cells from 31 elderly former indentured child laborers (Verdingkinder) using the Infinium Illumina 450k Human DNA methylation chip. DNA methylation modifications indicated experiment-wide significant associations with the following complex posttraumatic symptom domains: dissociation, tension reduction behavior and dysfunctional sexual behavior. Differentially methylated CpG sites were mapped to the genes huntington associated protein 1 (HAP1), RAN binding protein 2 (RANBP2) and proteasome subunit alpha 4 (PSMA4), respectively. In addition, the methylation of cg07225277 located in carnosine synthase 1 (CARNS1) correlated with trauma symptom complexity. Our pilot data suggest correlation of DNA methylation modifications with complex posttraumatic symptoms in elderly individuals subjected to prolonged and complex childhood trauma. More comprehensive and elaborated studies should be carried out to analyze epigenetic modifications associated with CPTSD.","Marinova Z, Maercker A, Grünblatt E, Wojdacz TK, Walitza S.",BMC Res Notes. 2017 Dec 19;10(1):752. doi: 10.1186/s13104-017-3082-y.,Marinova Z,BMC Res Notes,2017,12/21/2017,PMC5738217,,10.1186/s13104-017-3082-y,Y,Included,EWAS of childhood trauma & complex PTSD symptoms
39565630,War Exposure and DNA Methylation in Syrian Refugee Children and Adolescents,"Exposure to war is associated with poor mental health outcomes. Adverse and traumatic experiences can lead to long-lasting DNA methylation changes, potentially mediating the link between adversity and mental health. To date, limited studies have investigated the impact of war on DNA methylation in children or adolescents, hampering our understanding of the biological impact of war exposure. To identify salivary DNA methylation differences associated with war exposure in refugee children and adolescents. This cohort study included Syrian refugee children and adolescents, and their primary caregiver were recruited from tented settlements in Lebanon. Data collection was carried out in 2 waves, 1 year apart, from October 2017 to January 2018 and October 2018 to January 2019. Children and their caregiver were interviewed, and children provided saliva samples for DNA extraction. Data analysis was conducted in 2022, 2023, and 2024. War exposure assessed by interviewing children and their caregiver using the War Events Questionnaire. Salivary DNA methylation levels were assayed with the Infinium MethylationEPIC BeadChip (Illumina). Epigenetic aging acceleration was estimated using a set of preexisting epigenetic aging clocks. A literature search was conducted to identify previously reported DNA methylation correlates of childhood trauma. The study population included 1507 children and adolescents (mean [SD] age, 11.3 [2.4] years; age range, 6-19 years; 793 female [52.6%]). A total of 1449 children provided saliva samples for DNA extraction in year 1, and 872 children provided samples in year 2. Children who reported war events had a number of differentially methylated sites and regions. Enrichment analyses indicated an enrichment of gene sets associated with transmembrane transport, neurotransmission, and intracellular movement in genes that exhibited differential methylation. Sex-stratified analyses found a number of sex-specific DNA methylation differences associated with war exposure. Only 2 of 258 (0.8%) previously reported trauma-associated DNA methylation sites were associated with war exposure (B = -0.004; 95% CI, -0.005 to -0.003; Bonferroni P = .04 and B = -0.005; 95% CI, -0.006 to -0.004; Bonferroni P = .03). Any war exposure or bombardment was nominally associated with decreased epigenetic age using the Horvath multitissue clock (B = -0.39; 95% CI, -0.63 to -0.14; P = .007 and B = -0.42; 95% CI, -0.73 to -0.11; P = .002). In this cohort of Syrian refugee children and adolescents, war exposure was associated with a small number of distinct differences in salivary DNA methylation.","Smeeth D, Ecker S, Chervova O, McEwen F, Karam E, Beck S, Pluess M.",JAMA Psychiatry. 2025 Feb 1;82(2):191-200. doi: 10.1001/jamapsychiatry.2024.3714.,Smeeth D,JAMA Psychiatry,2025,11/20/2024,PMC11579893,,10.1001/jamapsychiatry.2024.3714,Y,Included,EWAS of war exposure in children
34600028,Differential regulation of the DNA methylome in adults born during the Great Chinese Famine in 1959-1961,"Extensive epidemiological studies have established the association between exposure to early-life adversity and health status and diseases in adults. Epigenetic regulation is considered as a key mediator for this phenomenon but analysis on humans is sparse. The Great Chinese Famine lasting from 1958 to 1961 is a natural string of disasters offering a precious opportunity for elucidating the underlying epigenetic mechanism of the long-term effect of early adversity. Using a high-throughput array platform for DNA methylome profiling, we conducted a case-control epigenome-wide association study on early-life exposure to Chinese famine in 79 adults born during 1959-1961 and compared to 105 unexposed subjects born 1963-1964. The single CpG site analysis of whole epigenome revealed a predominant pattern of decreased DNA methylation levels associated with fetal exposure to famine. Four CpG sites were detected with p < 1e-06 (linked to EHMT1, CNR1, UBXN7 and ESM1 genes), 16 CpGs detected with 1e-06 < p < 1e-05 and 157 CpGs with 1e-05 < p < 1e-04, with a predominant pattern of hypomethylation. Functional annotation to genes and their enriched biological pathways mainly involved neurodevelopment, neuropsychological disorders and metabolism. Multiple sites analysis detected two top-rank differentially methylated regions harboring RNF39 on chromosome 6 and PTPRN2 on chromosome 7, both showing epigenetic association with stress-related conditions. Early-life exposure to famine could mediate DNA methylation regulations that persist into adulthood with broad impacts in the activities of genes and biological pathways. Results from this study provide new clues to the epigenetic embedding of early-life adversity and its impacts on adult health.","Li S, Wang W, Zhang D, Li W, Lund J, Kruse T, Mengel-From J, Christensen K, Tan Q.",Genomics. 2021 Nov;113(6):3907-3918. doi: 10.1016/j.ygeno.2021.09.018. Epub 2021 Sep 29.,Li S,Genomics,2021,10/2/2021,,,10.1016/j.ygeno.2021.09.018,Y,Included,EWAS on famine exposure
